"archive_path","uncompressed_bytes","extension","preliminary_classification","classification_reason","public_repository_action","final_decision","reviewer_notes"
"PDARTS/class_counts.csv","556",".csv","EXTRACT_CANONICAL_RESULT","Compact class-schema record requiring reconciliation across datasets and tasks.","Convert into documented experiment-specific schemas.","",""
"PDARTS/Github/master/__pycache__/genotypes.cpython-39.pyc","1451",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/model.cpython-39.pyc","6195",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/model_search.cpython-39.pyc","5762",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/operations.cpython-39.pyc","5376",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/skin_csv_dataset.cpython-39.pyc","4148",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/skin_transforms.cpython-39.pyc","2872",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/__pycache__/utils.cpython-39.pyc","4620",".pyc","EXCLUDE_GENERATED","Generated Python bytecode or cache material.","Exclude from Git.","",""
"PDARTS/Github/master/01_skin_csv_dataset.py","4921",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/02_skin_transforms.py","2565",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/03_run_search_skin.py","36180",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","37104",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/03_run_search_skinTask2.py","37102",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/04_multieval_genotype_skin.py","40126",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","38729",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","40303",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","43442",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/Architecture.png","327585",".png","REVIEW_REQUIRED","Image asset requires relevance, origin, and publication-permission review.","Include only if useful, accurate, and authorized.","",""
"PDARTS/Github/master/Derma_split.py","11398",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/genotypes.py","2818",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/model.py","7284",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/model_search.py","6003",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/operations.py","4144",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/skin_csv_dataset.py","3499",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/skin_transforms.py","2625",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/splits.py","6437",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/test.py","3279",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/test_imagenet.py","3334",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/train_cifar.py","7688",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/train_imagenet.py","10818",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/train_search.py","19015",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/master/utils.py","3657",".py","MIGRATE_TO_MAINTAINED","Historical implementation contains reusable skin-transferability workflow logic.","Preserve historical hash, then migrate configurable logic into src/.","",""
"PDARTS/Github/master/visualize.py","1419",".py","PUBLISH_AS_HISTORICAL","Upstream-style P-DARTS implementation requiring revision and license verification.","Publish only after upstream provenance and licensing are confirmed.","",""
"PDARTS/Github/pdarts-master - Copy.zip","21514",".zip","PRESERVE_PRIVATE","Nested historical source archive retained for byte-level provenance.","Keep original ZIP outside Git.","",""
"PDARTS/Github/pdarts-master.zip","27585",".zip","PRESERVE_PRIVATE","Nested historical source archive retained for byte-level provenance.","Keep original ZIP outside Git.","",""
"PDARTS/ISIC_2019_Training_GroundTruth.csv","1291479",".csv","REVIEW_REQUIRED","Dataset metadata or split report requiring licensing and identifier review.","Do not publish by default; document official dataset acquisition.","",""
"PDARTS/ISIC_2019_Training_Metadata.csv","1214351",".csv","REVIEW_REQUIRED","Dataset metadata or split report requiring licensing and identifier review.","Do not publish by default; document official dataset acquisition.","",""
"PDARTS/label_map.csv","213",".csv","EXTRACT_CANONICAL_RESULT","Compact class-schema record requiring reconciliation across datasets and tasks.","Convert into documented experiment-specific schemas.","",""
