"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/class_counts.csv","556","211",".csv","","True","review_extension:.csv"
"PDARTS/Github/master/__pycache__/genotypes.cpython-39.pyc","1451","677",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/model.cpython-39.pyc","6195","2881",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/model_search.cpython-39.pyc","5762","3011",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/operations.cpython-39.pyc","5376","2043",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/skin_csv_dataset.cpython-39.pyc","4148","2315",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/skin_transforms.cpython-39.pyc","2872","1718",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/__pycache__/utils.cpython-39.pyc","4620","2430",".pyc","","True","review_extension:.pyc;generated_python_cache"
"PDARTS/Github/master/01_skin_csv_dataset.py","4921","1965",".py","","False",""
"PDARTS/Github/master/02_skin_transforms.py","2565","1079",".py","","False",""
"PDARTS/Github/master/03_run_search_skin.py","36180","9081",".py","","False",""
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","37104","9466",".py","","False",""
"PDARTS/Github/master/03_run_search_skinTask2.py","37102","9456",".py","","False",""
"PDARTS/Github/master/04_multieval_genotype_skin.py","40126","10681",".py","","False",""
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","38729","10333",".py","","False",""
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","40303","10824",".py","","False",""
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","43442","11391",".py","","False",""
"PDARTS/Github/master/Architecture.png","327585","290961",".png","","False",""
"PDARTS/Github/master/Derma_split.py","11398","3895",".py","","False",""
"PDARTS/Github/master/genotypes.py","2818","499",".py","","False",""
"PDARTS/Github/master/model.py","7284","1509",".py","","False",""
"PDARTS/Github/master/model_search.py","6003","1571",".py","","False",""
"PDARTS/Github/master/operations.py","4144","908",".py","","False",""
"PDARTS/Github/master/skin_csv_dataset.py","3499","1430",".py","","False",""
"PDARTS/Github/master/skin_transforms.py","2625","1087",".py","","False",""
"PDARTS/Github/master/splits.py","6437","2347",".py","","False",""
"PDARTS/Github/master/test.py","3279","1286",".py","","False",""
"PDARTS/Github/master/test_imagenet.py","3334","1364",".py","","False",""
"PDARTS/Github/master/train_cifar.py","7688","2247",".py","","False",""
"PDARTS/Github/master/train_imagenet.py","10818","3141",".py","","False",""
"PDARTS/Github/master/train_search.py","19015","4672",".py","","False",""
"PDARTS/Github/master/utils.py","3657","1282",".py","","False",""
"PDARTS/Github/master/visualize.py","1419","647",".py","","False",""
"PDARTS/Github/pdarts-master - Copy.zip","21514","19900",".zip","","True","review_extension:.zip"
"PDARTS/Github/pdarts-master.zip","27585","25540",".zip","","True","review_extension:.zip"
"PDARTS/ISIC_2019_Training_GroundTruth.csv","1291479","84394",".csv","","True","review_extension:.csv"
"PDARTS/ISIC_2019_Training_Metadata.csv","1214351","179594",".csv","","True","review_extension:.csv"
"PDARTS/label_map.csv","213","143",".csv","","True","review_extension:.csv"
"PDARTS/metadata.csv","316209","56705",".csv","","True","review_extension:.csv"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/_EVAL_LEDGER.csv","1434","695",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/_EVAL_LEDGER.csv","21963","2134",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/8.csv","1429","692",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/best_full.pt","11268858","10363273",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/best_weights.pt","5725056","5204608",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/calibration_ece.csv","1040","398",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/confusion_matrix.csv","195","105",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/eval.log","267429","46386",".log","","True","review_extension:.log;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/last_full.pt","11268858","10367432",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/last_weights.pt","5725056","5206169",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/per_class_metrics.csv","554","303",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/pr_curve_macro_micro.csv","985021","218867",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/roc_curve_macro_micro.csv","113252","12755",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/run_args.json","1690","642",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_metrics.json","4069","1175",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_metrics_summary.csv","386","228",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_predictions.csv","294126","120884",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/train_history.csv","35841","15391",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/val_predictions.csv","172468","71560",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/best_full.pt","16323491","14990839",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/best_weights.pt","8299820","7526965",".pt","","True","review_extension:.pt;large_file;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/calibration_ece.csv","1044","398",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/confusion_matrix.csv","194","107",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/eval.log","268569","45929",".log","","True","review_extension:.log;generated_or_historical_output"
