"nested_archive_path","nested_archive_sha256","inner_path","basename","extension","size_bytes","sha256","is_python_source"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/genotypes.py","genotypes.py",".py","2818","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/model.py","model.py",".py","7284","7054c78634bf5374390f197200a6d7a66b740ef12d97f27a285073357952f3c8","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/model_search.py","model_search.py",".py","6003","55031d82f0267cae939c469ae12d1db6002a271e9ecf0a48ae1f9ac0dc0f9384","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/operations.py","operations.py",".py","4144","9fec86be75abba79fb6ecc1265ed13602f71e165906385964cbcffe6d1837522","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/test.py","test.py",".py","3279","f474a8304ae3f635636fc80b994989c34cd83ba011d0531306fe4e526aaac5fd","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/test_imagenet.py","test_imagenet.py",".py","3334","c1f90f11a5868b96dc223c008c5d98b6d68938a0b1edd7bdd7023db18b740a75","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/train_cifar.py","train_cifar.py",".py","7688","388fe5e87ef7b0c04760e01d9297053c3d040674a2310df6891a282743c95a2a","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/train_imagenet.py","train_imagenet.py",".py","10818","a320d898b61164734d22cd62c8e67a728dc135f28ad1d4a6870b48ec0d9f5517","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/train_search.py","train_search.py",".py","19015","47029f8aa98515b9eed819348a0fbb0bc6ed22798be4c6ad1ea1db4ed32c2658","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/utils.py","utils.py",".py","3652","e5b80251f41060bdf9cc19e6aeb9596b68d97e26735526f8426073bf440acbcc","true"
"PDARTS/Github/pdarts-master - Copy.zip","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","pdarts-master/visualize.py","visualize.py",".py","1419","911bef2e2f11dad8d7a9520451437809febd9d359e83f6515338b8787b669d28","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/00_make_splits_skin.py","00_make_splits_skin.py",".py","6603","70b2077db7f775bb7e2dc5a512bef7ed475c712e8fb19cf9163211e888493ebe","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/01_skin_csv_dataset.py","01_skin_csv_dataset.py",".py","4921","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/02_skin_transforms.py","02_skin_transforms.py",".py","2565","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/genotypes.py","genotypes.py",".py","2818","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/model.py","model.py",".py","7284","7054c78634bf5374390f197200a6d7a66b740ef12d97f27a285073357952f3c8","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/model_search.py","model_search.py",".py","6003","55031d82f0267cae939c469ae12d1db6002a271e9ecf0a48ae1f9ac0dc0f9384","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/operations.py","operations.py",".py","4144","9fec86be75abba79fb6ecc1265ed13602f71e165906385964cbcffe6d1837522","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/test.py","test.py",".py","3279","f474a8304ae3f635636fc80b994989c34cd83ba011d0531306fe4e526aaac5fd","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/test_imagenet.py","test_imagenet.py",".py","3334","c1f90f11a5868b96dc223c008c5d98b6d68938a0b1edd7bdd7023db18b740a75","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/train_cifar.py","train_cifar.py",".py","7688","388fe5e87ef7b0c04760e01d9297053c3d040674a2310df6891a282743c95a2a","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/train_imagenet.py","train_imagenet.py",".py","10818","a320d898b61164734d22cd62c8e67a728dc135f28ad1d4a6870b48ec0d9f5517","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/train_search.py","train_search.py",".py","19015","47029f8aa98515b9eed819348a0fbb0bc6ed22798be4c6ad1ea1db4ed32c2658","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/utils.py","utils.py",".py","3652","e5b80251f41060bdf9cc19e6aeb9596b68d97e26735526f8426073bf440acbcc","true"
"PDARTS/Github/pdarts-master.zip","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","pdarts-master/visualize.py","visualize.py",".py","1419","911bef2e2f11dad8d7a9520451437809febd9d359e83f6515338b8787b669d28","true"
