"archive_path","candidate_kind","size_bytes","sha256","batch1_classification","preliminary_source_role","has_windows_absolute_path","has_unix_absolute_path","has_likely_credential_reference","has_command_line_interface","imports_torch","imports_torchvision","mentions_darts","contains_view_operation","contains_reshape_operation","release_review_required","final_disposition","public_destination","decision_basis"
"PDARTS/Github/master/01_skin_csv_dataset.py","python_source","4921","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","MIGRATE_TO_MAINTAINED","data_loading","true","false","false","true","true","true","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/02_skin_transforms.py","python_source","2565","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","false","false","false","true","true","true","false","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/03_run_search_skin.py","python_source","36180","ba0298a3bd487cbcbb69ee2601d742df070b395ccfd217e6bbd80ced2a897a54","MIGRATE_TO_MAINTAINED","architecture_search","false","true","false","true","true","false","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","python_source","37104","3ffc46eac9bb9bbe7be657c21a37814a52b97b0e64b334cc2ec5627bd2099379","MIGRATE_TO_MAINTAINED","architecture_search","false","true","false","true","true","false","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/03_run_search_skinTask2.py","python_source","37102","668ce3caa6417b79a3f64334fd228c24afb8b4e8bd08af0b5c3823b6a349ecb1","MIGRATE_TO_MAINTAINED","architecture_search","false","true","false","true","true","false","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/04_multieval_genotype_skin.py","python_source","40126","8360ff3d53d402b0910b635a9a93c8ca2eab7d522a6a3b81740869de7166b3ba","MIGRATE_TO_MAINTAINED","architecture_evaluation","false","true","false","true","true","false","true","true","true","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","python_source","38729","ee940e2f51bcb251af5f8ac11c7dae98871c1d554b77f40c92d3c5d445c65c27","MIGRATE_TO_MAINTAINED","architecture_evaluation","false","true","false","true","true","false","true","true","true","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","python_source","40303","7fe2c4322fe5ce0121fc2514b6a017ea9560552db139f1ff176de13f2c1be756","MIGRATE_TO_MAINTAINED","architecture_evaluation","false","true","false","true","true","false","true","true","true","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","python_source","43442","87ea0847ad23ba0e7b8aedde3cae942dad6ef36591754a38389dd977546dc937","MIGRATE_TO_MAINTAINED","data_loading","false","true","false","true","true","false","true","true","true","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/Derma_split.py","python_source","11398","ddb6457198c71204f6652e86c180bf861d86fafde054fecba2d23b11e9642618","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","true","true","false","true","false","false","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
"PDARTS/Github/master/genotypes.py","python_source","2818","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","PUBLISH_AS_HISTORICAL","shared_nas_core","false","false","false","false","false","false","true","false","false","true","REVIEW_REQUIRED","","Pending file-level lineage and release review"
