task,target_dataset,architecture,training_initialization,accuracy_percent,publication_location,provenance_status
multiclass,PAD-UFES-20,P-DARTS6,new_weights_on_target,63.70,Table 17,manuscript_reported_not_regenerated
multiclass,PAD-UFES-20,InceptionNet,trained_from_scratch,63.70,Table 17,manuscript_reported_not_regenerated
multiclass,PAD-UFES-20,DenseNet,trained_from_scratch,63.26,Table 17,manuscript_reported_not_regenerated
multiclass,PAD-UFES-20,ResNet,trained_from_scratch,62.17,Table 17,manuscript_reported_not_regenerated
multiclass,PAD-UFES-20,VisionTransformer,trained_from_scratch,59.56,Table 17,manuscript_reported_not_regenerated
multiclass,PAD-UFES-20,VGGNet,trained_from_scratch,58.48,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,P-DARTS6,new_weights_on_target,97.71,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,InceptionNet,trained_from_scratch,77.17,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,DenseNet,trained_from_scratch,78.91,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,ResNet,trained_from_scratch,75.65,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,VisionTransformer,trained_from_scratch,72.61,Table 17,manuscript_reported_not_regenerated
binary,PAD-UFES-20,VGGNet,trained_from_scratch,78.70,Table 17,manuscript_reported_not_regenerated
