experiment_id,experiment_family,method,source_dataset,target_dataset,task,label_schema,search_depth_n,search_stage_depths,search_repetitions,search_epochs_record,evaluation_depths_m,evaluation_epochs,resolutions,metrics,publication_location,provenance_status
E1A,Search and evaluation-depth comparison,P-DARTS,ISIC-2019,ISIC-2019,multiclass,isic_pad_six_class,"6;8;10","2-4-6;4-6-8;6-8-10",3,"archive:25 per stage and 75 total","2;4;6;8;10;12;14",300,32,accuracy,"Table 5; Figure 7",publication_reported
E1B,Search and evaluation-depth comparison,P-DARTS,ISIC-2019,PAD-UFES-20,multiclass,isic_pad_six_class,"6;8;10","2-4-6;4-6-8;6-8-10",3,"archive:25 per stage and 75 total","2;4;6;8;10;12;14",300,32,accuracy,"Table 5; Figure 7",publication_reported
E1C,DARTS comparison,DARTS,ISIC-2019,"ISIC-2019;PAD-UFES-20",multiclass,isic_pad_six_class,6,non-progressive,3,requires_reconciliation,"2;4;6;8;10;12;14",300,32,accuracy,"Table 5; Figure 7",publication_reported
E2,Search-source comparison,P-DARTS6,"ISIC-2019;PAD-UFES-20;ISIC-2019-SUB",PAD-UFES-20,multiclass,isic_pad_six_class,6,2-4-6,3,requires_reconciliation,"4;6;8;10;12;14",300,32,accuracy,"Tables 7-8; Figure 8",publication_reported
E3,Cell-operation analysis,P-DARTS,"ISIC-2019;ISIC-2019-SUB;PAD-UFES-20",not_applicable,multiclass,experiment_specific,"6;8;10","2-4-6;4-6-8;6-8-10",3,requires_reconciliation,not_applicable,not_applicable,32,pooling_operation_count,Table 9,publication_reported
E4,Multi-target transfer,P-DARTS6,ISIC-2019,"PAD-UFES-20;DermaMNIST",multiclass,experiment_specific,6,2-4-6,3,requires_reconciliation,"2;4;6;8;10;12;14",300,32,"accuracy;weighted_f1;tpr;tnr;auc",Table 10,publication_reported
E5,High-resolution multi-target transfer,P-DARTS6,ISIC-2019,"PAD-UFES-20;DermaMNIST",multiclass,experiment_specific,6,2-4-6,3,requires_reconciliation,"2;4;6;8;10;12;14",300,224,"accuracy;weighted_f1;tpr;tnr;auc","Tables 11;13;14",publication_reported
E6,Direct target-search control,P-DARTS6,DermaMNIST,DermaMNIST,multiclass,dermamnist_archive_six_class,6,2-4-6,3,requires_reconciliation,"2;4;6;8;10;12;14",300,32,"accuracy;weighted_f1;tpr;tnr;auc",Table 12,publication_reported
E7,Binary classification,P-DARTS6,ISIC-2019,"ISIC-2019;PAD-UFES-20",binary_malignant_benign,binary_isic_pad,6,2-4-6,3,requires_reconciliation,"2;4;6;8;10;12;14",300,32,accuracy,"Figure 12; Table 16",publication_reported
E8,Architecture comparison,"P-DARTS6;InceptionNet;DenseNet;ResNet;VisionTransformer;VGGNet",not_applicable,PAD-UFES-20,"multiclass;binary",isic_pad_six_class_or_binary,not_applicable,not_applicable,not_applicable,not_applicable,best_reported_configuration,requires_reconciliation,32,accuracy,Table 17,publication_reported
